mahalle,toplam_kayit,kat_verili,ortalama_kat,max_kat,kapsama_pct
GEYİKBAYIRI,5077,2558,2.0,2.0,50.38
ÇAĞLARCA,4510,1936,2.0,2.0,42.93
DOYRAN,3096,28,2.0,2.0,0.9
HURMA,2229,1807,4.01,8.0,81.07
LİMAN,2141,1533,3.93,5.0,71.6
HİSARÇANDIR,1916,135,2.0,2.0,7.05
GÜRSU,1893,1316,3.04,6.0,69.52
BAHTILI,1496,0,,,0.0
ALTINKUM,1390,591,2.38,4.0,42.52
ARAPSUYU,1370,952,2.4,6.0,69.49
AŞAĞIKARAMAN,1339,0,,,0.0
UNCALI,1312,1118,4.63,7.0,85.21
MOLLA YUSUF,1294,1012,3.39,5.0,78.21
PINARBAŞI,1197,680,3.3,7.0,56.81
ÇAKIRLAR,1101,0,,,0.0
SARISU,1050,363,2.98,4.0,34.57
ÖĞRETMENEVLERİ,1033,795,4.0,5.0,76.96
TOROS,998,756,3.09,5.0,75.75
SİTELER,925,695,6.46,12.0,75.14
AKDAMLAR,697,0,,,0.0
KARATEPE,667,0,,,0.0
ULUÇ,647,538,3.69,5.0,83.15
ZÜMRÜT,645,61,2.0,2.0,9.46
KUŞKAVAĞI,551,349,2.33,5.0,63.34
AKKUYU,545,283,4.81,5.0,51.93
HACISEKİLİLER,512,0,,,0.0
YARBAŞÇANDIR,491,0,,,0.0
AYDINLIK,435,0,,,0.0
GÖKÇAM,398,0,,,0.0
KIR,373,0,,,0.0
DOYRAN ÇAMLIBEL,359,0,,,0.0
DOYRAN DAĞ,357,0,,,0.0
ÜÇOLUK,311,0,,,0.0
SUİÇECEK,258,0,,,0.0
YENİ,227,0,,,0.0
KURUÇAY,149,0,,,0.0
GÖKDERE,148,0,,,0.0
ÇİTDİBİ,148,0,,,0.0
DEMİRCİLİK,138,0,,,0.0
