mahalle,kayit,kat_verili,ortalama_kat,max_kat,kapsama_pct
UNCALI,1312,1118,4.63,7.0,85.21
ULUÇ,647,538,3.69,5.0,83.15
HURMA,2229,1807,4.01,8.0,81.07
MOLLA YUSUF,1294,1012,3.39,5.0,78.21
ÖĞRETMENEVLERİ,1033,795,4.0,5.0,76.96
TOROS,998,756,3.09,5.0,75.75
SİTELER,925,695,6.46,12.0,75.14
LİMAN,2141,1533,3.93,5.0,71.6
GÜRSU,1893,1316,3.04,6.0,69.52
ARAPSUYU,1370,952,2.4,6.0,69.49
KUŞKAVAĞI,551,349,2.33,5.0,63.34
PINARBAŞI,1197,680,3.3,7.0,56.81
AKKUYU,545,283,4.81,5.0,51.93
ALTINKUM,1390,591,2.38,4.0,42.52
SARISU,1050,363,2.98,4.0,34.57
