param_n_estimators,param_max_depth,param_min_samples_leaf,mean_test_score,std_test_score,rank_test_score
200,20,1,0.3930511766170692,0.25606605917821423,1
200,,1,0.3910169279100865,0.256659352045926,2
200,30,1,0.38918472180362224,0.25375818157901836,3
500,20,1,0.3885248378544239,0.24840059903845726,4
500,,1,0.38742743952072756,0.2496259288054838,5
500,30,1,0.38723553187596044,0.2488627423759641,6
200,20,5,0.26365165504194493,0.06780921660016075,7
200,,5,0.2633873192166678,0.06779892848113121,8
200,30,5,0.2633533037660287,0.06781392931836208,9
500,20,5,0.26268205120099647,0.066520279483338,10
500,30,5,0.26240389738409414,0.06661810045575269,11
500,,5,0.26239959655378825,0.06662846774513266,12
200,20,10,0.2026054514008261,0.04764565212102548,13
200,30,10,0.20254940400717827,0.04754055126589342,14
200,,10,0.20254521490911348,0.047541961877982056,15
500,20,10,0.2019076001081258,0.04979236772244104,16
500,30,10,0.20184035919276636,0.04971657033354658,17
500,,10,0.20183968121727558,0.04971669982882625,18
